央视直播,#genre#
湖北卫视,http://117.148.187.40/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230670/01.m3u8?fmt=ts2hls#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8#http://39.134.168.91/PLTV/1/224/3221225544/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225546/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226210/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225663/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225588/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225529/index.m3u8
东南卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226244/1.m3u8#http://39.134.168.91/PLTV/1/224/3221225580/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225519/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225580/index.m3u8
厦门卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226124/10000100000000060000000002358105_0.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226124/10000100000000060000000002358105_0.smil#http://223.110.247.161:6610/gitv/live1/G_XIAMEN/G_XIAMEN#http://cstvpull.live.wscdns.com/live/xiamen.flv#http://39.134.168.91/PLTV/1/224/3221225640/index.m3u8
重庆卫视,http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8#http://39.134.168.91/PLTV/1/224/3221225576/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225530/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225632/index.m3u8
贵州卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225617/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225534/index.m3u8#http://223.110.245.149/ott.js.chinamobile.com/PLTV/3/224/3221225787/index.m3u8
河北卫视,http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225627/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225523/index.m3u8#http://live5.plus.hebtv.com/hbws/sd/live.m3u8#http://39.134.168.91/PLTV/1/224/3221225624/index.m3u8
吉林卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226792/48616745.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226792/48616745.smil#http://39.134.168.91/PLTV/1/224/3221225586/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225637/index.m3u8
广西卫视,http://39.134.168.91/PLTV/1/224/3221225598/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225631/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225521/index.m3u8
陕西卫视,http://39.134.168.91/PLTV/1/224/3221225628/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225608/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225527/index.m3u8
宁夏卫视,http://39.134.168.91/PLTV/1/224/3221225638/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225639/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225535/index.m3u8
青海卫视,http://39.134.168.91/PLTV/1/224/3221225622/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225578/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225531/index.m3u8
海峡卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil#rtsp://183.252.166.199:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
山西卫视,http://39.134.168.91/PLTV/1/224/3221225646/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225633/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225525/index.m3u8
甘肃卫视,http://39.134.168.91/PLTV/1/224/3221225636/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/gansu_2/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225629/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225538/index.m3u8
海南卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225624/index.m3u8#http://39.134.39.38/PLTV/88888888/224/3221226301/index.m3u8
内蒙卫视,http://121.31.30.91:8081/ysten-business/live/neimenggustv/1.m3u8#http://39.134.168.91/PLTV/1/224/3221225626/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225616/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225537/index.m3u8
西藏卫视,http://223.110.247.161:6610/gitv/live1/G_XIZANG/G_XIZANG#http://39.134.168.91/PLTV/1/224/3221225648/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225625/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225542/index.m3u8
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8#http://223.110.247.161:6610/gitv/live1/G_XINJIANG/G_XINJIANG#http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221225884/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225540/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225630/index.m3u8
兵团卫视,http://39.134.168.91/PLTV/1/224/3221225634/index.m3u8#http://101.71.255.229:6610/zjhs/2/10006/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://223.110.247.161:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN#http://112.17.40.211/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228419/index.m3u8?fmt=ts2hls
三沙卫视,http://ivi.bupt.edu.cn/hls/sstv.m3u8
延边卫视,http://223.110.247.161:6610/gitv/live1/G_YANBIAN/G_YANBIAN#http://live.ybtvyun.com/video/s10006-a772df604950/index.m3u8
安多卫视,http://223.110.247.161:6610/gitv/live1/G_ANDUO/G_ANDUO#http://39.134.157.205/PLTV/88888888/224/3221225541/index.m3u8

少儿频道,#genre#
动漫秀场蓝光,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
爱动漫,http://112.50.243.8/PLTV/88888888/224/3221226141/1.m3u8#http://101.71.255.229:6610/zjhs/2/10107/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
广东嘉佳,http://125.210.152.18:9090/live/XDKT.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/flv:500k/live
甘肃少儿,http://stream.appwuhan.com/7tzb/sd/live.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226289/index.m3u8
福州少儿,http://stream.gstv.com.cn/sepd/sd/live.m3u8#http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
BTV卡酷少儿,http://live2.sxrtv.com/flvss?bitrate=800000&channel=Shan1XiChild#http://223.110.245.143/ott.js.chinamobile.com/PLTV/3/224/3221226097/index.m3u8
云南少儿,http://edge2.yntv.cn/channels/yntv/ynse/flv:sd/live#http://112.17.40.140/PLTV/88888888/224/3221226178/index.m3u8
金鹰卡通,http://121.31.30.90:8085/ysten-business/live/jinyingkaton/1.m3u8
优漫卡通,http://223.110.243.171/PLTV/3/224/3221226982/index.m3u8
北京少儿,http://ivi.bupt.edu.cn/hls/btv10.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226695/index.m3u8
重庆少儿,http://219.153.252.50/PLTV/88888888/224/3221225625/chunklist.m3u8#http://219.153.252.50/PLTV/88888888/224/3221225646/1.m3u8
动画13台FHD,http://hdtv.haust.edu.cn/hls/fhdy.m3u8
动画14台FHD,http://112.50.243.8/PLTV/88888888/224/3221226732/1.m3u8
动漫15台FHD,http://112.50.243.8/PLTV/88888888/224/3221226741/1.m3u8
动物HD,http://112.50.243.8/PLTV/88888888/224/3221226743/1.m3u8
晴天动画馆,http://hdtv.haust.edu.cn/hls/hls78a47.m3u8

体育频道,#genre#
博斯网球,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
劲爆体育,http://liveplay-kk.rtxapp.com/live/program/live/jbtyhd/2300000/mnf.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226170/index.m3u8#http://140.207.241.2:8080/live/program/live/jbtyhd/4000000/mnf.m3u8
吉林篮球,http://stream1.jlntv.cn/lqpd/sd/live.m3u8
IPTV5+,http://39.134.39.39/PLTV/88888888/224/3221226273/index.m3u8
五星体育,http://liveplay-kk.rtxapp.com/live/program/live/ssty/2300000/mnf.m3u8#http://140.207.241.2:8080/live/program/live/ssty/4000000/mnf.m3u8#http://117.156.28.21/PLTV/88888888/224/3221225603/index.m3u8#http://183.207.255.188/live/program/live/ssty/4000000/mnf.m3u8#http://183.207.255.188/live/program/live/ssty/2300000/mnf.m3u8
FTV足球,http://ivi.bupt.edu.cn/hls/zqhd.m3u8
足球频道,http://hdtv.haust.edu.cn/hls/zqhd.m3u8
Newtv精品体育,http://112.50.243.8/PLTV/88888888/224/3221225886/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226819/index.m3u8
精彩体育,http://39.134.19.57/PLTV/88888888/224/3221225809/index.m3u8
奥林匹克高清,http://ott-live.olympicchannel.com/out/u/OC1_2.m3u8?fluxustv.m3u8
新视觉HD,http://125.210.152.18:9090/live/XSJHD.m3u8
咪咕篮球[1920*1080],http://39.134.39.37/PLTV/88888888/224/3221226225/index.m3u8

影视轮播,#genre#
海爷TV动漫[1280*720],https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/492270/live_189986442_7728008.m3u8
海爷TV国外[1280*720],https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/211012/live_52370715_1734265.m3u8
