央视全网,#genre#
Newtv-云南,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225795/index.m3u8
动作电影,http://121.31.30.91:8081/ysten-business/live/dongzuody/1.m3u8
明星大片,http://121.31.30.91:8081/ysten-business/live/mingxingdp/1.m3u8
金牌综艺,http://121.31.30.91:8081/ysten-business/live/saishijx/1.m3u8
精品体育,http://121.31.30.91:8081/ysten-business/live/jtiyu/1.m3u8
精品大剧,http://121.31.30.91:8081/ysten-business/live/jdaju/1.m3u8
精品电影,http://121.31.30.91:8081/ysten-business/live/jdianying/1.m3u8
海外剧场,http://121.31.30.91:8081/ysten-business/live/xiqumd/1.m3u8
家庭剧场,http://121.31.30.91:8081/ysten-business/live/jiatingjc/1.m3u8
爱情喜剧,http://121.31.30.91:8081/ysten-business/live/aiqingxj/1.m3u8
古装剧场,http://121.31.30.91:8081/ysten-business/live/guzhuangjc/1.m3u8
军旅剧场,http://121.31.30.91:8081/ysten-business/live/junlvjc/1.m3u8
惊悚悬疑,http://121.31.30.91:8081/ysten-business/live/jingsongxy/1.m3u8
精品记录,http://121.31.30.91:8081/ysten-business/live/jingpinjl/1.m3u8
军事评论,http://121.31.30.91:8081/ysten-business/live/junshipl/1.m3u8
农业致富,http://121.31.30.91:8081/ysten-business/live/nongyezf/1.m3u8
电竞,http://121.31.30.91:8081/ysten-business/live/wmyx/1.m3u8
健康有约,http://121.31.30.91:8081/ysten-business/live/ljiankangyouyue/1.m3u8
搏击,http://121.31.30.91:8081/ysten-business/live/SD-1500k-576P-bokesen/1.m3u8
NewTV 超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225622/index.m3u8
NewTV 超级综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225620/index.m3u8
NewTV 超级电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225623/index.m3u8
NewTV 超级电视剧4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225625/index.m3u8
NewTV 超级电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225765/index.m3u8
NewTV 精品体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225709/index.m3u8
NewTV 精品大剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225714/index.m3u8
NewTV 精品纪录,http://39.134.115.163:8080/PLTV/88888910/224/3221225710/index.m3u8
NewTV 金牌综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225711/index.m3u8
NewTV 古装剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221225678/index.m3u8
NewTV 动作电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225671/index.m3u8
NewTV 惊悚悬疑,http://39.134.115.163:8080/PLTV/88888910/224/3221225717/index.m3u8
NewTV 炫舞未来,http://39.134.115.163:8080/PLTV/88888910/224/3221225707/index.m3u8
NewTV 爱情喜剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225748/index.m3u8
NewTV 农业致富,http://39.134.115.163:8080/PLTV/88888910/224/3221225670/index.m3u8
NewTV 军旅剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221225669/index.m3u8
NewTV 中国功夫,http://39.134.115.163:8080/PLTV/88888910/224/3221225660/index.m3u8
NewTV 江西,http://39.134.115.163:8080/PLTV/88888910/224/3221225979/index.m3u8
黑莓电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225718/index.m3u8
黑莓电竞,http://39.134.115.163:8080/PLTV/88888910/224/3221225653/index.m3u8
黑莓动画,http://39.134.115.163:8080/PLTV/88888910/224/3221225672/index.m3u8
CIBN精品影院,http://v.iam7.top/iptv/cibn/?id=1108&code=JingPin
CIBN怡家,http://v.iam7.top/iptv/cibn/?id=1108&code=JiaoYu
CIBN生活,http://v.iam7.top/iptv/cibn/?id=1108&code=YouXi
CIBN军事,http://v.iam7.top/iptv/cibn/?id=1108&code=YinYue
CIBN真人秀,http://v.iam7.top/iptv/cibn/?id=1108&code=LuShi
CIBN文旅中国,http://v.iam7.top/iptv/cibn/?id=1108&code=MeiZhuang
CIBN嗨播,http://v.iam7.top/iptv/cibn/?id=1108&code=LvYou
CIBN时尚生活,http://v.iam7.top/iptv/cibn/?id=1108&code=DongLinFaYin
CIBN童学世界,http://v.iam7.top/iptv/cibn/?id=1108&code=ReBo
CIBN经典剧场,http://v.iam7.top/iptv/cibn/?id=1108&code=DOTA2
CIBN风尚运动,http://v.iam7.top/iptv/cibn/?id=1108&code=DuShi
CIBN汽车,http://v.iam7.top/iptv/cibn/?id=1108&code=QiChe
CIBN映画,http://v.iam7.top/iptv/cibn/?id=1108&code=TiYu
CIBN情感影院,http://v.iam7.top/iptv/cibn/?id=1108&code=QingGan
CIBN骄阳剧场,http://v.iam7.top/iptv/cibn/?id=1108&code=JingDian
CIBN健康,http://v.iam7.top/iptv/cibn/?id=1108&code=JianKang
CIBN喜剧影院,http://v.iam7.top/iptv/cibn/?id=1108&code=TongBu
CIBN炫佳动漫,http://v.iam7.top/iptv/cibn/?id=1108&code=DongMan
CIBN微电影,http://v.iam7.top/iptv/cibn/?id=1108&code=WeiDianYing
CIBN朵Y乐园,http://v.iam7.top/iptv/cibn/?id=1108&code=chanwenhua
CIBN院线大片,http://v.iam7.top/iptv/cibn/?id=1108&code=DanJi
CIBN古装剧场,http://v.iam7.top/iptv/cibn/?id=1108&code=ZongYi
CIBN好莱坞,http://v.iam7.top/iptv/cibn/?id=1108&code=ZongHe
CIBN家居用品,http://v.iam7.top/iptv/cibn/?id=1108&code=jiayougouwu
CIBN流金岁月,http://v.iam7.top/iptv/cibn/?id=1108&code=Shoucang
CIBN艺术院线,http://v.iam7.top/iptv/cibn/?id=1108&code=YingXiong
CIBN综合,http://v.iam7.top/iptv/cibn/?id=1108&code=DianJing
CIBN动作影院,http://v.iam7.top/iptv/cibn/?id=1108&code=ShengHuo
广东南方卫视,http://39.134.156.12/PLTV/88888888/224/3221225614/index.m3u8
广东戏曲,http://szlive.grtn.cn/lnxq/sd/live.m3u8
佛山影视频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8
佛山公共,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd.m3u8
佛山新闻频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd.m3u8
佛山顺德,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd.m3u8
佛山高明频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_gmpd.m3u8
佛山三水频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sspd.m3u8
佛山南海频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd.m3u8
珠海新闻频道,http://dslive.grtn.cn/zhzh/sd/live.m3u8
梅州综合频道,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv1.m3u8
梅州公共频道,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv2.m3u8
惠州电视1,http://dslive.grtn.cn/hzzh/sd/live.m3u8
河源综合频道,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共频道,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
清远综合频道,http://hls.wiseqx.com/live/qxzh.m3u8
清远公共频道,http://hls.wiseqx.com/live/qxgg.m3u8
潮州综合频道,http://dslive.grtn.cn/czzh/sd/live.m3u8
潮州公共频道,http://live.zscz0768.com/live/ggpd.m3u8
汕尾1频道,http://dslive.grtn.cn/swzh/sd/live.m3u8
韶关公共频道,https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8
韶关新闻频道,http://dslive.grtn.cn/sgxwzhHD/sd/live.m3u8
阳江公共频道,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/playlist.m3u8
阳江新闻频道,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/playlist.m3u8
湛江公共频道,http://120.237.237.11:8000/public/HDCH02/playlist.m3u8
湛江新闻,http://dslive.grtn.cn/zjzh/sd/live.m3u8
广州综合,http://live.gxroad.com/dft/grz.php?m=1c7380001466ced077f6741b953eab9b3913ba681b8e519b4af8db0cef0dd3e3&id=gzzh
东莞综合,http://stream.sun0769.com/dgrtv1/mp4:tv1/index.m3u8?channel=1&t=1564894110&ttl=28800&key=cced0de46f581a1529d5e83072270b8b&wsSession=77297fe80d9a8cb6f059fede-156489410154605&wsIPSercert=f086d5d69252d168e984b98ea9c9c91f&wsMonitor=0
东莞公共,http://stream.sun0769.com/dgrtv1/mp4:tv2/index.m3u8?channel=1&t=1573736432&ttl=28800&key=b9bfbc377841ed9c9053a67c75fa06bf&wsSession=0766eecd5a5827a685da6a08-157373642444867&wsIPSercert=47968e26976b661b21a9a5ad77a3ca24&wsMonitor=0
汕头综合,http://wx.tt1008.top/gd.php?id=shantouyitaogaoqing_4500
汕头公共,http://wx.tt1008.top/gd.php?id=shantousantaogaoqing_4500
潮州综合,http://live.zscz0768.com/live/zhpd.m3u8
潮州公共,http://live.zscz0768.com/live/ggpd.m3u8
汕尾综合,http://dslive.grtn.cn/swzh/sd/live.m3u8
高尔夫球,http://szlive.grtn.cn/grfpd/sd/live.m3u8
番禺综合,http://live.pybtv.cn/channel1/sd/live.m3u8
增城综合,http://202.168.164.38:8083/videos/live/19/27/QEQXMtU5AUpwo/QEQXMtU5AUpwo.m3u8
佛山综合,http://dslive.grtn.cn/fszh/sd/live.m3u8
珠海综合,http://dslive.grtn.cn/zhzh/sd/live.m3u8
蛇口综合,http://218.17.99.211:82/hls/d4encs75.m3u8
惠州综合,http://dslive.grtn.cn/hzzh/sd/live.m3u8
清远综合,http://stream1.0763f.com/qyzh/sd/live.m3u8
清远公共,http://stream1.0763f.com/qygg/sd/live.m3u8
肇庆综合,http://dslive.grtn.cn/zqzh/sd/live.m3u8
韶关综合,http://dslive.grtn.cn/sgxwzhHD/sd/live.m3u8
河源综合,http://dslive.grtn.cn/hyzh/sd/live.m3u8
梅州综合,http://dslive.grtn.cn/mzzh/sd/live.m3u8
湛江综合,http://dslive.grtn.cn/zjzh/sd/live.m3u8
茂名综合,http://dslive.grtn.cn/mmzh/sd/live.m3u8
阳江综合,http://dslive.grtn.cn/yjzh/sd/live.m3u8
电白综合,http://gddb.chinashadt.com:1935/live/video1.stream/playlist.m3u8
电白视窗,http://gddb.chinashadt.com:1935/live/video2.stream/playlist.m3u8
蛇口电视,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8
广州番禺,http://live.pybtv.cn/channel1/sd/live.m3u8
广州增城,http://202.168.164.38:8083/videos/live/19/27/QEQXMtU5AUpwo/QEQXMtU5AUpwo.M3U8
佛山高明,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_gmpd.m3u8
佛山南海,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd.m3u8
番禺瑞丽,http://live.ynurl.com/video/s10021-rltv/index.m3u8
东莞电视1,http://stream.sun0769.com/dgrtv1/mp4:tv1/index.m3u8?channel=1&t=1570433642&ttl=28800&key=fb99d0fff7b90f29b3bfbbc78f33f069&wsSession=371ea2ad6e9512a5c9274689-157043356571382&wsIPSercert=a0a4b2a9962adcf715f749eb9fe2638a&wsMonitor=0
东莞电视2,http://stream.sun0769.com/dgrtv1/mp4:tv2/index.m3u8?channel=1&t=1570433512&ttl=28800&key=fe65e427e0b58aec039809377c04b1e0&wsSession=371ea2ad6e9512a5c9274689-157043356571382&wsIPSercert=a0a4b2a9962adcf715f749eb9fe2638a&wsMonitor=0
梅州一套,http://dslive.grtn.cn/mzzh/playlist.m3u8
韶关公共,https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8
佛山影视,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8
珠江,p8p://0198.02686.cc:16871/5d1a69cc0002c11611be3ab59efd0c09.ts
蛇口,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8
潮安影视,http://chaoan.chaoantv.com:8278/h_yingshi_1028/playlist.m3u8
潮安综合,http://chaoan.chaoantv.com:8278/zongyi_728/playlist.m3u8
鹤山综合,http://pili-live-rtmp.68.i2863.com/i2863-68/live_68_293669.m3u8
梅州公共,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv2.m3u8
东莞1,http://stream.sun0769.com/dgrtv1/mp4:tv1/index.m3u8?channel=1&t=1570433642&ttl=28800&key=fb99d0fff7b90f29b3bfbbc78f33f069&wsSession=371ea2ad6e9512a5c9274689-157043356571382&wsIPSercert=a0a4b2a9962adcf715f749eb9fe2638a&wsMonitor=0
东莞2,http://stream.sun0769.com/dgrtv1/mp4:tv2/index.m3u8?channel=1&t=1570433512&ttl=28800&key=fe65e427e0b58aec039809377c04b1e0&wsSession=371ea2ad6e9512a5c9274689-157043356571382&wsIPSercert=a0a4b2a9962adcf715f749eb9fe2638a&wsMonitor=0
开平综合,https://31355.hlsplay.aodianyun.com/tv_radio_31355/tv_channel_1434.m3u8
开平生活,https://31355.hlsplay.aodianyun.com/tv_radio_31355/tv_channel_1435.m3u8
清新综合,http://hls.wiseqx.com/live/qxzh.m3u8
清新公共,http://hls.wiseqx.com/live/qxgg.m3u8
阳江2,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_w551261166_b928000.m3u8
阳江1,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_w1166501356_b928000.m3u8
江门公共,rtmp://tideweblive.jmtv.cn/tslsChannelLive/qzohscw/live
江门教育,rtmp://tideweblive.jmtv.cn/tslsChannelLive/S020qM6/live
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
中国交通广东,http://tv.lanjingfm.com/cctbn/guangdong.m3u8
梅州一台,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv1.m3u8
梅州二台,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv2.m3u8
清远新闻,http://stream1.0763f.com/qyzh/sd/live.m3u8
珠海一台,http://dslive.grtn.cn/zhzh/sd/live.m3u8
广东佛山综合,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd.m3u8
广东佛山影视,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8
广东佛山公共,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd.m3u8
广东佛山顺德,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd.m3u8
广东佛山南海,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd.m3u8
广东佛山高明,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_gmpd.m3u8
广东佛山三水,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sspd.m3u8
揭阳综合,http://dslive.grtn.cn/jyzh/sd/live.m3u8
揭阳公共,http://livejieyang.chinamcache.com/live/zb02.m3u8
广元公共,http://3g.dzsm.com/streamer/gy04.m3u8
广元影视,http://3g.dzsm.com/streamer/gy02.m3u8
安阳新闻综合,http://hntvpull.8686c.com/wxtv/AY-1/playlist.m3u8
上海外语,http://livemixer.kksmg.com/tvlive/wypd/d77f83e8-2317-4c6f-9891-db8eafd354f7.m3u8?se=kankan&ct=2&_mode=1&_cp=1&_fk=12A47B72E2FA0981F14521D032B144C08A128604B652D7FC6B86E4A159A60830
澳门卫视,http://stream.mastvnet.com/MSTV/SD/live.m3u8
澳亞衛視,http://stream.mastvnet.com/MASTV/sd/live.m3u8
霸州公共频道,http://hbbz.chinashadt.com:2036/live/stream:bzgg.stream/playlist.m3u8
霸州少儿频道,http://hbbz.chinashadt.com:2036/live/stream:bzse.stream/playlist.m3u8
霸州文化频道,http://hbbz.chinashadt.com:2036/live/stream:bzwh.stream/playlist.m3u8
霸州新闻频道,http://hbbz.chinashadt.com:2036/live/stream:bzxw.stream/playlist.m3u8
白城新闻综合,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8
白山新闻综合,http://stream2.jlntv.cn/baishan1/sd/live.m3u8
蚌埠生活频道,http://newvod.ahbbtv.com:1935/live/smil:shpd_copy.smil/playlist.m3u8
宝应生活资讯,http://jsby.chinashadt.com:2035/live/by2.stream/playlist.m3u8
宝应新闻综合,http://jsby.chinashadt.com:2035/live/by1.stream/playlist.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京文艺,http://ivi.bupt.edu.cn/hls/btv2.m3u8
北京文艺HD,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
璧山综合频道,http://222.179.44.89:10023/ch1.m3u8
滨海新闻,http://cstvpull.live.wscdns.com/live/tianjinbh.flv
滨海新闻综合,http://jsbh.chinashadt.com:2036/live/bh11.stream/playlist.m3u8
滨海综艺,http://cstvpull.live.wscdns.com/live/tianjinbh2.flv
滨州公共电视剧,http://stream.bzcm.net/1/sd/live.m3u8
滨州新闻综合,http://stream.bzcm.net/2/sd/live.m3u8
兵团卫视,http://v.btzx.com.cn:1935/live/weishi.stream/playlist.m3u8
亳州农村频道,http://220.180.110.101:8083/videos/live/39/13/o4ncrHkSp7q09/o4ncrHkSp7q09.M3U8
亳州新闻频道,http://220.180.110.101:8083/videos/live/33/59/NC7XQdEveyncq/NC7XQdEveyncq.M3U8
沧县电视二套,http://hebcx.chinashadt.com:2036/live/10002.stream/playlist.m3u8
沧县电视综合,http://hebcx.chinashadt.com:2036/live/10001.stream/playlist.m3u8
滁州公共频道,http://183.167.193.45:1935/live/cztvgg/playlist.m3u8
滁州新闻综合,http://183.167.193.45:1935/live/cztvzh/playlist.m3u8
磁县综合频道,http://hbcx.chinashadt.com:1937/live/stream:hdxw.stream/playlist.m3u8
大冶一套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
大足文化频道,http://dazulive.cbg.cn:3170/hls5.m3u8
大足综合频道,http://dazulive.cbg.cn:3170/hls1.m3u8
德州公共频道,http://video.dztv.tv:1935/live/dzgg_bq/playlist.m3u8
德州图文频道,http://video.dztv.tv:1935/live/dztw_gq/playlist.m3u8
德州新闻频道,http://video.dztv.tv:1935/live/xwzh_gq/playlist.m3u8
迪庆藏语,http://stream01.dqtv123.com:1935/live/diqingzangyu.stream/playlist.m3u8
迪庆综合,http://stream01.dqtv123.com:1935/live/xinwenzonghe.stream/playlist.m3u8
第一财经,http://w1.livecdn.yicai.com/hls/live/CBN_sd/live.m3u8
东昌导视频道,http://sddc.chinashadt.com:1936/live/gonggong.stream/playlist.m3u8
东方财经,http://w1.livecdn.yicai.com/hls/live/dftv_sd/live.m3u8
东方购物,http://ocj2.kksmg.com/ocj1/ocj1.m3u8
东阳新闻综合,http://stream.dybtv.com/xwzh/GQ/live.m3u8
东阳影视生活,http://stream.dybtv.com/yssh/GQ/live.m3u8
东营公共频道,http://stream.hhek.cn/ggpd/sd/live.m3u8
东营科教频道,http://stream.hhek.cn/dyjy/sd/live.m3u8
东营综合频道,http://stream.hhek.cn/xwzh/sd/live.m3u8
东至文化资讯,http://223.247.33.124:1935/live/wenhua/playlist.m3u8
东至新闻综合,http://223.247.33.124:1935/live/zonghe/playlist.m3u8
东至影视频道,http://223.247.33.124:1935/live/yingshi/playlist.m3u8
敦煌综合频道,http://live.todaydunhuang.com:1935/live/live100/500K/tzwj_video.m3u8
峨边电视台,http://218.6.224.15:8011/vms/videos/channellive/channel15/playlist.m3u8
鄂前旗电视台,http://liveetkqq.sobeycache.com/etkqq/zb1.m3u8?auth_key=1601002939-0-0-d82f8642cc63a650860f080cca591ae6
法治天地,http://202.107.188.232:5002/fazhi_hdcq-1.m3u8?token=GoxlQBuMZUAcjGVA_yoongoo&ct=wifi&gid=fazhi_hdcq
方城一套,http://219.154.156.75:3080/live/fc720/index.m3u8
凤台文化生活,http://60.175.115.119:1935/live/wenhua/playlist.m3u8
凤台综合频道,http://60.175.115.119:1935/live/zonghe/playlist.m3u8
福海维语综合,http://klmyyun.chinavas.com/hls/fuhai1.m3u8
福建导视,http://fjnh.chinashadt.com:2036/live/stream:fjds.stream/playlist.m3u8
福山生活频道,http://live.jiaodong.net:82/tvfushan/hls/tv_shenghuo.m3u8
福山综合频道,http://live.jiaodong.net:82/tvfushan/hls/tv_zonghe.m3u8
福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
福州生活,http://live1.fzntv.cn/live/zohi_fztv3/playlist.m3u8
福州影视,http://live1.fzntv.cn/live/zohi_fztv2/playlist.m3u8
福州综合,http://live1.fzntv.cn/live/zohi_fztv1/playlist.m3u8
抚州公共频道,http://111.75.179.195:30767/video/live_vide2.m3u8
抚州综合频道,http://111.75.179.195:30767/video/live_vide.m3u8
甘南藏语频道,http://live.gnrtv.com:9600/live/live2/tzwj_video.m3u8
甘南综合频道,http://live.gnrtv.com:9600/live/live1/tzwj_video.m3u8
甘肃都市频道,http://stream.gstv.com.cn/dspd/sd/live.m3u8
甘肃公共频道,http://stream.gstv.com.cn/ggpd/sd/live.m3u8
甘肃经济频道,http://stream.gstv.com.cn/jjpd/sd/live.m3u8
甘肃少儿频道,http://stream.gstv.com.cn/sepd/sd/live.m3u8
甘肃文化影视,http://stream.gstv.com.cn/whys/sd/live.m3u8
甘肃移动电视,http://stream.gstv.com.cn/ydds/sd/live.m3u8
高尔夫,http://nclive.grtn.cn/grfpd/sd/live.m3u8
个旧综合,http://live.hhtv.cc:9098/gjtv/gjtv.m3u8
馆陶美丽乡村,http://hbgt.chinashadt.com:1935/live/stream:mlxc.stream_720p/playlist.m3u8
馆陶综合,http://hbgt.chinashadt.com:1935/live/stream:gtzh.stream_720p/playlist.m3u8
海宁生活服务,http://stream.haining.tv/hnfw/sd/live.m3u8
海宁新闻综合,http://stream.haining.tv/hnxw/sd/live.m3u8
